PRODUCT,PLANT,PURCHASINGGROUP,COUNTRYOFORIGIN,REGIONOFORIGIN,PRODUCTIONINVTRYMANAGEDLOC,PROFILECODE,PROFILEVALIDITYSTARTDATE,AVAILABILITYCHECKTYPE,FISCALYEARVARIANT,PERIODTYPE,PROFITCENTER,GOODSRECEIPTDURATION,MAINTENANCESTATUSNAME,ISMARKEDFORDELETION,MRPTYPE,MRPRESPONSIBLE,ABCINDICATOR,MINIMUMLOTSIZEQUANTITY,MAXIMUMLOTSIZEQUANTITY,FIXEDLOTSIZEQUANTITY,CONSUMPTIONTAXCTRLCODE,ISCOPRODUCT,CONFIGURABLEPRODUCT,STOCKDETERMINATIONGROUP,HASPOSTTOINSPECTIONSTOCK,ISBATCHMANAGEMENTREQUIRED,SERIALNUMBERPROFILE,ISNEGATIVESTOCKALLOWED,HASCONSIGNMENTCTRL,ISPURGACROSSPURGGROUP,ISINTERNALBATCHMANAGED,PRODUCTCFOPCATEGORY,PRODUCTISEXCISETAXRELEVANT,UNDERDELIVTOLERANCELIMIT,OVERDELIVTOLERANCELIMIT,PROCUREMENTTYPE,SPECIALPROCUREMENTTYPE,PRODUCTIONSCHEDULINGPROFILE,PRODUCTIONSUPERVISOR,SAFETYSTOCKQUANTITY,GOODSISSUEUNIT,SOURCEOFSUPPLYCATEGORY,CONSUMPTIONREFERENCEPRODUCT,CONSUMPTIONREFERENCEPLANT,CONSUMPTIONREFUSAGEENDDATE,CONSUMPTIONQTYMULTIPLIER,PRODUCTUNITGROUP,DISTRCNTRDISTRIBUTIONPROFILE,CONSIGNMENTCONTROL,GOODISSUEPROCESSINGDAYS,PLANNEDDELIVERYDURATIONINDAYS,PRODUCTISCRITICALPRT,PRODUCTLOGISTICSHANDLINGGROUP,MATERIALFREIGHTGROUP,ORIGINALBATCHREFERENCEMATERIAL,ORIGLBATCHMANAGEMENTISREQUIRED,PRODUCTCONFIGURATION,BASEUNIT,PLANNINGSTRATEGYGROUP,LOTSIZEROUNDINGQUANTITY,MATERIALBASEQUANTITY,MINIMUMSAFETYSTOCKQUANTITY,SAFETYDURATION,ASSEMBLYSCRAPPERCENT,COMPONENTSCRAPINPERCENT,PRODUCTBOMUSAGE,OPERATION,LAST_UPDATE_DATE
000000000035000002,AU03,,,,2200,,,Z2,,M,,0,DLGB,,PD,001,,0.000,0.000,0.000,,,,,,,,,,,,,,0.0,0.0,F,,,,0.000,,,,,,0.00,,,,0,0,,,,,,0,EA,,0.000,0.000,0.000,0,0.00,0.00,,U,2022-09-09 01:38:37+00:00
000000000057000028,NZ01,,,,2200,,,Z2,,M,0000010000,0,DALBG,,PD,002,,0.000,0.000,0.000,,,,,,X,,,,,X,,,0.0,0.0,E,,ZEXPIB,002,0.000,,,,,,0.00,,,,0,0,,,,,,0,KGM,,0.000,0.000,0.000,0,0.00,0.00,,U,2022-09-09 01:38:37+00:00
000000000057000029,AU03,,,,1000,,,Z2,,M,0000010000,0,DALBG,,PD,002,,0.000,0.000,0.000,,,,,,X,,,,,X,,,0.0,0.0,F,,ZEXPIB,,0.000,,,,,,0.00,,,,0,0,,,,,,0,KS,,0.000,0.000,0.000,0,0.00,0.00,,U,2022-09-09 01:38:37+00:00
000000000057000060,AU02,,,,,,,Z2,,M,0000010000,0,VELQBG,,,,,0.000,0.000,0.000,,,,,,X,,,,,X,,,0.0,0.0,,,,,0.000,,,,,,0.00,,,,0,0,,,,,,0,TNE,,0.000,0.000,0.000,0,0.00,0.00,,U,2022-09-09 01:38:37+00:00
000000000057000000,AU00,,,,2200,,,,,M,,0,DAL,,PD,002,,0.000,0.000,0.000,,,,,,X,,,,,X,,,0.0,0.0,F,,ZEXPIB,,0.000,,,,,,0.00,,,,0,0,,,,,,0,EA,,0.000,0.000,0.000,0,0.00,0.00,,U,2022-09-09 01:38:37+00:00
000000000076000001,AU30,,,,,,,02,,M,0000010000,0,VDLBG,,Z1,001,,0.000,0.000,0.000,,,,,,X,,,,,X,,,0.0,0.0,X,,,,0.000,,,,,,0.00,,,,0,0,,,,,,0,CS,,0.000,0.000,0.000,0,0.00,0.00,,U,2022-09-09 01:38:37+00:00
000000000076000000,AU03,,,,1000,,,Z2,,M,0000010000,0,DLABGV,,PD,001,,0.000,0.000,0.000,,,,,,X,,,,,X,,,0.0,0.0,E,,ZEXPIB,,0.000,,,,,,0.00,,,,0,0,,,,,,0,EA,,0.000,0.000,0.000,0,0.00,0.00,,U,2022-09-09 01:38:37+00:00
000000000076000001,AU36,,,,1000,,,Z2,,M,0000010000,0,DBG,,PD,001,,0.000,0.000,0.000,,,,,,X,,,,,X,,,0.0,0.0,F,C8,,,0.000,,,,,,0.00,,,,0,0,,,,,,0,CS,,0.000,0.000,0.000,0,0.00,0.00,,U,2022-09-09 01:38:37+00:00
000000000076000001,AU03,,,,1000,,,Z2,,M,0000010000,0,DLABGV,,PD,001,,0.000,0.000,0.000,,,,,,X,,,,,X,,,0.0,0.0,E,,ZEXPIB,,100000.000,,,,,,0.00,,,,0,0,,,,,,0,CS,,0.000,0.000,0.000,0,0.00,0.00,,U,2022-09-09 01:38:37+00:00
000000000057000004,AU30,,,,1100,,,Z2,,M,0000010000,0,VEDALSQBG,,PD,002,,0.000,0.000,0.000,,,,,,X,,,,,X,,,0.0,0.0,E,50,YB0004,,0.000,,,,,,0.00,,,,0,0,,,,,,0,KGM,,0.000,0.000,0.000,0,0.00,0.00,,U,2022-09-09 01:38:37+00:00
000000000057000003,AU00,,,,,,,,,M,,0,E,,,,,0.000,0.000,0.000,,,,,,X,,,,,X,,,0.0,0.0,,,,,0.000,,,,,,0.00,,,,0,0,,,,,,0,KGM,,0.000,0.000,0.000,0,0.00,0.00,,U,2022-09-09 01:38:37+00:00
